id,nome,categoria,preco
1,Teclado Mecânico Gamer,Periféricos,375.0
3,Monitor 24 Polegadas,Eletrônicos,899.0
4,Fone de Ouvido Bluetooth,Eletrônicos,159.99
5,Webcam Full HD,Eletrônicos,129.9
6,Cadeira Gamer,Escritório,1199.0
7,HD Externo 1TB,Armazenamento,349.0
8,SSD 512GB,Armazenamento,299.0
9,Pen Drive 32GB,Armazenamento,29.9
10,Notebook i5 8GB RAM,Computadores,3299.0
11,Smartphone 128GB,Eletrônicos,1899.0
12,Carregador Portátil,Bateria,119.0
13,Cabo USB-C 1m,Acessórios,19.9
14,Tablet 10 Polegadas,Eletrônicos,999.0
15,Impressora Multifuncional,Escritório,699.0
16,Switch 8 Portas,Redes,129.0
17,Roteador Dual Band,Redes,199.0
18,Caixa de Som Bluetooth,Eletrônicos,149.9
19,Smartwatch Esportivo,Eletrônicos,349.9
20,Lâmpada Smart Wi-Fi,Automação,69.9
21,Controle Universal Smart,Automação,79.9
22,Aspirador Robô,Eletrodomésticos,1399.0
23,Air Fryer 4L,Eletrodomésticos,399.0
24,Liquidificador 900W,Eletrodomésticos,199.9
25,Panela Elétrica 3L,Eletrodomésticos,249.9
26,Adaptador HDMI para VGA,Acessórios,29.9
27,Placa de Vídeo GTX 1660Ti,Hardware,1699.0
28,Memória RAM 8GB DDR4,Hardware,189.9
29,CPU Cooler,Hardware,129.9
30,Base Refrigerada para Notebook,Acessórios,79.9
31,Scanner Portátil,Escritório,299.0
32,Microfone USB,Periféricos,219.9
33,Hub USB 4 Portas,Acessórios,39.9
34,Repetidor de Sinal Wi-Fi,Redes,99.9
35,TV 50 Polegadas 4K,Eletrônicos,2499.0
36,Soundbar 120W,Eletrônicos,599.0
37,Estabilizador 500VA,Eletrônicos,189.0
38,Nobreak 1200VA,Eletrônicos,799.0
39,Kit Teclado e Mouse,Periféricos,119.9
40,Monitor 27 Polegadas 144Hz,Eletrônicos,1799.0
